Organization Name,City,State,Type
"Identity, Inc. - Gay & Lesbian Community Center of Anchorage ",Anchorage,AK,Youth Center
Shoals Diversity Center ,Florence,AL,Youth Center
Bayard Rustin Community Center  ,Montgomery,AL,Youth Center
Magic City Acceptance Center,Birmingham,AL,Youth Center
Prism United,Mobile,AL,Youth Center
The Equality Crew,Springdale,AR,Youth Center
Northwest Arkansas Center for Equality -Arthur Beeghly LGBTQ Resource Center),Fayetteville,AR,Youth Center
one n ten -,Phoenix,AZ,Youth Center
"Southwest Center for HIV/AIDS, Inc. ",Phoenix,AZ,Youth Center
Thornhill Lopez Center on 4th ,Tucson,AZ,Youth Center
Rainbow Community Center of Contra Costa County ,Concord,CA,Youth Center
Diversity Collective Ventura County,Ventura,CA,Youth Center
South Bay LGBTQ Center ,Torrance,CA,Youth Center
Central Valley Pride Center  ,Modesto,CA,Youth Center
The LGBTQ Center Long Beach  ,Long Beach,CA,Youth Center
The Center for Sexuality & Gender Diversity ,Bakersfield,CA,Youth Center
North County LGBTQ Resource Center ,Oceanside,CA,Youth Center
LGBTQ Center Orange County,Santa Ana,CA,Youth Center
NorCal OUTreach Project ,Redding,CA,Youth Center
San Francisco LGBT Community Center ,San Francisco,CA,Youth Center
"Pomona Pride Center, Inc. ",Pomona,CA,Youth Center
San Mateo County Pride Center,San Mateo,CA,Youth Center
GALA Pride and Diversity Center,San Luis Obispo,CA,Youth Center
San Gabriel Valley LGBTQ Center ,Arcadia,CA,Youth Center
The Source LGBT+ Resource Center ,Visalia,CA,Youth Center
SCV LGBTQ Center  ,Santa Clarita,CA,Youth Center
The OUTreach Center - Antelope Valley,Lancaster,CA,Youth Center
The Diversity Center of Santa Cruz ,Santa Cruz,CA,Youth Center
Pacific Pride Foundation ,Santa Barbara,CA,Youth Center
Billy DeFrank LGBT Community Center ,San Jose,CA,Youth Center
Stonewall Alliance Center of Chico,Chico,CA,Youth Center
CoastPride,Half Moon Bay,CA,Youth Center
Positive Images LGBTQIAA+ Center,Santa Rosa,CA,Youth Center
Los Angeles LGBT Center,Los Angeles,CA,Youth Center
Sacramento LGBT Community Center,Sacramento,CA,Youth Center
The Spahr Center ,Corte Madera,CA,Youth Center
Oakland LGBTQ Community Center ,Oakland,CA,Youth Center
Solano Pride Center ,Fairfield,CA,Youth Center
Fresno Spectrum Center ,Fresno,CA,Youth Center
Imperial Valley LGBT Resource Center ,El Centro,CA,Youth Center
The East Bay LGBTQ Arts Center ,Oakland,CA,Youth Center
Merced Pride Center,Modesto,CA,Youth Center
Lavender Seniors,Oakland,CA,Youth Center
LGBT Community Network ,Clovis,CA,Youth Center
LYRIC (Lavender Youth Recreation and Information Center) ,San Francisco,CA,Youth Center
The LGBTQ Community Center of the Desert ,Palm Springs,CA,Youth Center
The San Diego LGBT Community Center ,San Diego,CA,Youth Center
Pacific Center for Human Growth ,Berkeley,CA,Youth Center
The Center on Colfax ,Denver,CO,Youth Center
Four Corners Rainbow Youth Center ,Durango,CO,Youth Center
Youth Seen ,Broomfield,CO,Youth Center
Out Boulder County,Boulder,CO,Youth Center
Queer Asterisk Therapeutic Services,Boulder,CO,Youth Center
Inside Out Youth Services,Colorado Springs,CO,Youth Center
New Haven Pride Center ,New Haven,CT,Youth Center
Yale University's Office of LGBTQ Resources,New Haven,CT,Youth Center
Triangle Community Center ,Norwalk,CT,Youth Center
The DC Center for the LGBT Community ,Washington,DC,Youth Center
SMYAL,Washington,DC,Youth Center
Camp Rehoboth ,Rehoboth Beach,DE,Youth Center
Sussex Pride,Rehoboth Beach,DE,Youth Center
JASMYN ,Jacksonville,FL,Youth Center
Jax PRISM,Jacksonville,FL,Youth Center
The Center - LGBTQ Center of Bay County ,Panama City,FL,Youth Center
Metro Inclusive Health ,St. Petersburg,FL,Youth Center
Pridelines  ,Miami,FL,Youth Center
LGBT+ Family & Games ,Orlando,FL,Youth Center
LGBTQ Center - UNF,Jacksonville,FL,Youth Center
Orlando Youth Alliance,Orlando,FL,Youth Center
ARAY - All Rainbow and Allied Youth ,Port Charlotte,FL,Youth Center
The LGBT+ Center Orlando  ,Orlando,FL,Youth Center
Naples Pride Center ,Naples,FL,Youth Center
SunServe,Wilton Manors,FL,Youth Center
The Pride Center at Equality Park ,Ft. Lauderdale,FL,Youth Center
Zebra Coalition,Orlando,FL,Youth Center
The Sanctuary LGBTQ+ Comm Center of the Treasure Coast  ,Port Saint Lucie,FL,Youth Center
Visuality LGBT Community Center ,Fort Myers,FL,Youth Center
ALSO Youth ,Sarasota,FL,Youth Center
Compass LGBTQ Community Center  ,Lake Worth,FL,Youth Center
Atlanta Pride Committee,Atlanta,GA,Youth Center
First City Pride Center  ,Savannah,GA,Youth Center
Southern Jewish Resource Network for Gender and Sexual Diversity (SOJOURN),Atlanta,GA,Youth Center
Hawai'i LGBT Legacy Foundation ,Honolulu,HI,Youth Center
All Under One Roof ,Pocatello,ID,Youth Center
Lighthouse Foundation - Chicago ,Chicago,IL,Youth Center
LGBTQ+ Center Lake County ,Waukegan,IL,Youth Center
"Clock, Inc.",Rock Island,IL,Youth Center
Brave Space Alliance ,Chicago,IL,Youth Center
Youth Outlook ,Naperville,IL,Youth Center
The UP (Uniting Pride) Center of Champaign County,Champaign,IL,Youth Center
Center on Halsted ,Chicago,IL,Youth Center
Indiana Youth Group ,Indianapolis,IN,Youth Center
"Transgender Resource Education and Enrichment Services - TREES, Inc. ",South Bend,IN,Youth Center
The LGBTQ Center  ,South Bend,IN,Youth Center
"GenderNexus, Inc.",Indianapolis,IN,Youth Center
Muncie OUTreach,Muncie,IN,Youth Center
Pride Center of Terre Haute,Terre Haute,IN,Youth Center
Spencer Pride CommUnity Center ,Spencer,IN,Youth Center
Haus of McCoy ,Lawrence ,KS,Youth Center
Our Spot KC,Kansas City,KS,Youth Center
"The Center of Wichita, Inc.  -",Wichita,KS,Youth Center
Kansas State University LGBT Resource Center,Mahhattan,KS,Youth Center
Heartland Equality,Paducah,KY,Youth Center
Lexington Pride Center,Lexington,KY,Youth Center
Louisville Youth Group,Louisville,KY,Youth Center
Capitol Area Reentry Program Inc. (Out of the Box LGBTQ Center),Baton Rouge,LA,Youth Center
"Boston Alliance of Gay, Lesbian, Bisexual & Transgender Youth",Boston,MA,Youth Center
South Coast LGBTQ+ Network Inc  ,New Bedford,MA,Youth Center
Out MetroWest ,Framingham,MA,Youth Center
"North Shore Alliance of Gay, Lesbian, Bisexual and Transgender Youth (nAGLY) - A Perfect Place ",Salem,MA,Youth Center
Delmarva Pride Center,Cordova,MD,Youth Center
The Frederick Center ,Frederick,MD,Youth Center
Equality Community Center ,Portland,ME,Youth Center
Transgender Michigan ,Hazel Park,MI,Youth Center
Stand with Trans ,Farmington,MI,Youth Center
OutCenter of Southwest Michigan ,Benton Harbor,MI,Youth Center
Jackson Pride Center,Jackson ,MI,Youth Center
Jim Toy Community Center ,Ann Arbor,MI,Youth Center
Great Lakes Bay Pride (formerly Perceptions),Midland,MI,Youth Center
Salus Center,Lansing ,MI,Youth Center
Affirmations,Ferndale,MI,Youth Center
Grand Rapids Pride Cente,Grand Rapids,MI,Youth Center
LGBT Detroit ,Detroit,MI,Youth Center
Out On The Lakeshore,Holland,MI,Youth Center
OutFront Kalamazoo ,Kalamazoo,MI,Youth Center
Oakland University Gender and Sexuality Center,Rochester,MI,Youth Center
"The Center Project, Inc.",Columbia,MO,Youth Center
Kansas City Center for Inclusion  ,Kansas City,MO,Youth Center
"The GLO Center, LGBTQ+ Community Center of the Ozarks",Springfield,MO,Youth Center
Gulf Coast Equality Center ,Gulfport,MS,Youth Center
The Center - Western Montana LGBTQ+ Community Center,Missoula,MT,Youth Center
LGBT Center of Raleigh ,Raleigh,NC,Youth Center
Guilford Green LGBTQ Center,Greensboro,NC,Youth Center
Time Out Youth ,Charlotte,NC,Youth Center
LGBTQ Center of Durham ,Durham,NC,Youth Center
North Star LGBT Community Center,Winston-Salem,NC,Youth Center
LGBTQ Center of the Cape Fear Coast f/k/a Frank Harr Foundation ,Wilmington,NC,Youth Center
