,State,Organization.Name,City,Type,State.y,Abbrev,lat,lng
15,CA,Diversity Collective Ventura County,Ventura,Youth Center,California,Calif.,34.2805,119.2945
58,CA,Qweerty Gamers ,Van Nuys,Youth Center,California,Calif.,34.1899,118.4514
82,DE,Camp Rehoboth ,Rehoboth Beach,Youth Center,Delaware,Del.,38.7209,75.0760
83,DE,Sussex Pride,Rehoboth Beach,Youth Center,Delaware,Del.,38.7209,75.0760
91,FL,The Sanctuary LGBTQ+ Comm Center of the Treasure Coast  ,Port Saint Lucie,Youth Center,Florida,Fla.,27.2730,80.3582
104,FL,The Pride Center at Equality Park ,Ft. Lauderdale,Youth Center,Florida,Fla.,26.1224,80.1373
131,IN,Spencer Pride CommUnity Center ,Spencer,Youth Center,Indiana,Ind.,39.2867,86.7625
138,KS,Kansas State University LGBT Resource Center,Mahhattan,Youth Center,Kansas,Kans.,39.1836,96.5717
139,KS,Haus of McCoy ,Lawrence ,Youth Center,Kansas,Kans.,38.9717,95.2353
151,MD,Caroline Pride,Denton,Youth Center,Maryland,Md.,38.8846,75.8272
153,MD,Delmarva Pride Center,Cordova,Youth Center,Maryland,Md.,38.8757,75.9961
159,MI,Jackson Pride Center,Jackson ,Youth Center,Michigan,Mich.,42.2459,84.4013
166,MI,Salus Center,Lansing ,Youth Center,Michigan,Mich.,42.7325,84.5555
187,ND,Dakota Outright,Bismark,Youth Center,North Dakota,N.D.,46.8083,100.7837
190,NJ,Bayard Rustin Center for Social Justice ,Princeton Jct.,Youth Center,New Jersey,N.J.,40.3173,74.6199
193,NJ,Bergen County LGBTQ+ Alliance ,Bergen,Youth Center,New Jersey,N.J.,40.9263,74.0770
209,NY,"Focus on Awareness and Information Resources of New York, Inc. (FAIRNY) ",Dewitt,Youth Center,New York,N.Y.,43.0427,76.0678
217,NY,TransNewYork ,Oakland Gardens,Youth Center,New York,N.Y.,40.7409,73.7582
233,OH,Colors+ Youth Center ,Fairview,Youth Center,Ohio,Ohio,40.0570,81.2329
234,OH,Unity House at Kenyon College,Gambier,Youth Center,Ohio,Ohio,40.3759,82.3972
235,OH,Akron AIDS Collaborative/Bayard Rustin LGBTQ+ Resource Center*,Copley,Youth Center,Ohio,Ohio,41.0989,81.6446
254,PA,Eastern PA Trans Equity Project,Orefield,Youth Center,Pennsylvania,Pa.,40.6350,75.5849
,ON,University of Toronto,Toronto,Science Advisor,Ontario,Ont.,43.6532,79.3832
