Page path and screen class,Region,Views,Users,New users,Views per user,Average engagement time,Unique user scrolls,Event count,Conversions,Total revenue
/gender101,Prince Edward Island,3,2,0,1.5,1347.5,0,15,0,0
/sexuality101,Bavaria,1,1,1,1,1200,0,8,0,0
/gender004,Canton of Bern,1,1,0,1,1068,0,15,0,0
/queer004,Capital Region of Denmark,1,1,0,1,1000,0,5,0,0
/gender004,Arkansas,3,2,1,1.5,935,0,28,0,0
/gender004,Tamaulipas,1,1,1,1,785,0,22,0,0
/pronouns101,Uusimaa,1,1,1,1,773,0,9,0,0
/queer004,Lodz Voivodeship,1,1,0,1,759,0,7,0,0
/sitemap,California,38,6,2,6.333333333333330,751.6666666666670,0,177,0,0
/about,Nevada,1,1,0,1,644,0,6,0,0
/queer004,Tamaulipas,3,1,0,3,633,0,15,0,0
/gender006,Prince Edward Island,1,1,1,1,622,0,5,0,0
/stress010,Jalisco,2,1,0,2,618,0,9,0,0
/queer02,England,1,1,1,1,609,0,8,0,0
/stress012,New Jersey,2,1,0,2,579,0,11,0,0
/,Bratislava Region,2,1,0,2,541,0,25,0,0
/stigma006,Jalisco,1,1,0,1,540,0,5,0,0
/gender101,Pest County,2,1,0,2,532,0,12,0,0
/gender101,Baghdad Governorate,1,1,0,1,526,0,6,0,0
/gender004,Alberta,1,1,0,1,520,0,5,0,0
/gender004,Capital Region of Denmark,1,1,0,1,499,0,5,0,0
/stress003,Indiana,2,1,0,2,487,0,23,0,0
/stress010,Alabama,2,1,0,2,473,0,26,0,0
/stress011,Berlin,1,1,1,1,465,0,8,0,0
/gender004,Alabama,15,9,1,1.6666666666666700,447.55555555555600,0,95,0,0
/gender004,Utah,1,1,0,1,427,0,12,0,0
/gender101,Araucania,3,2,1,1.5,389.5,0,13,0,0
/gender101,Queretaro,1,1,0,1,389,0,4,0,0
/gender101,Hawaii,1,1,1,1,388,0,7,0,0
/gender101,Wales,1,1,0,1,381,0,6,0,0
/queer004,Utah,6,4,0,1.5,376,0,42,0,0
/stress011,Ohio,3,2,0,1.5,351,0,14,0,0
/queer004,State of Rio de Janeiro,1,1,0,1,350,0,5,0,0
/stigma006,Pennsylvania,7,6,1,1.1666666666666700,347.6666666666670,0,31,0,0
/stress013,Massachusetts,4,3,1,1.3333333333333300,337.3333333333330,0,20,0,0
/stress010,Utah,1,1,0,1,336,0,7,0,0
/queer004,Alabama,24,7,0,3.4285714285714300,328.42857142857100,0,92,0,0
/gender101,Boyaca,1,1,0,1,326,0,6,0,0
/stigma006,Ontario,1,1,0,1,324,0,4,0,0
/stress011,Washington,3,1,0,3,324,0,16,0,0
/gender004,Galicia,1,1,0,1,321,0,11,0,0
/stress007,Indiana,3,3,0,1,321,0,13,0,0
/queer002,Maharashtra,1,1,0,1,320,0,5,0,0
/gender101,Makkah Province,1,1,0,1,319,0,6,0,0
/stress,Oslo,2,2,1,1,314,0,10,0,0
/stress006,Santa Cruz Department,1,1,0,1,308,0,4,0,0
/gender101,Iowa,4,4,1,1,296.25,0,21,0,0
/gender004,Boyaca,1,1,0,1,296,0,4,0,0
/queer004,Galicia,1,1,0,1,293,0,14,0,0
/stigma006,Utah,2,2,1,1,292.5,0,11,0,0
/stress006,North Carolina,10,9,2,1.1111111111111100,289.77777777777800,0,48,0,0
/gender005,West Java,1,1,0,1,285,0,6,0,0
/queer002,Baghdad Governorate,1,1,0,1,283,0,9,0,0
/stress006,Utah,1,1,0,1,280,0,15,0,0
/gender004,Bavaria,1,1,0,1,279,0,8,0,0
/gender004,Dubai,1,1,0,1,278,0,12,0,0
/gender101,Nova Scotia,1,1,0,1,270,0,4,0,0
/pronouns101,Bavaria,1,1,1,1,260,0,8,0,0
/stress012,Colorado,2,2,0,1,259,0,10,0,0
/spreadtheword,Oklahoma,4,5,3,0.8,257.4,0,25,0,0
/gender101,Valencian Community,1,1,0,1,256,0,5,0,0
/gender004,Massachusetts,18,16,6,1.125,254.625,0,134,0,0
/queer002,Indiana,3,3,0,1,253.66666666666700,0,23,0,0
/sexuality101,Delhi,1,1,0,1,252,0,6,0,0
/stress003,Delhi,1,1,0,1,252,0,7,0,0
/stress010,Maharashtra,1,1,0,1,252,0,11,0,0
/gender004,Rhode Island,3,1,0,3,250,0,19,0,0
/gender101,New South Wales,4,4,0,1,248.25,0,15,0,0
/sexuality101,Santa Cruz Province,1,1,0,1,242,0,7,0,0
/sexuality101,Nebraska,4,4,1,1,239,0,26,0,0
/stigma009,Capital Region of Denmark,2,2,0,1,239,0,13,0,0
/gender004,South Carolina,5,5,0,1,231.6,0,34,0,0
/sexuality101,Misiones Province,1,1,0,1,231,0,6,0,0
