organization,url,x,y
Barry,BarryUniversity.svg,52,206
BEAM,BEAM.svg,169,590
Bradbury,BradburySullivan.svg,371,344
CalWellness,CaliforniaWellnessFoundation.svg,210,53
Colfax,CenterOnColfax.svg,110,14
Halsted,CenterOnHalsted.svg,203,366
Coach,Coach.svg,26,240
Diversity,DiversityCollective.svg,333,214
Ghost,GhostNote.svg,439,75
Glsen,Glsen.svg,287,298
Identity,Identity.svg,53,502
LACenter,LALGBTQCenter.svg,273,68
Latino,LatinoEquityAlliance.svg,43,269
Louisville,LouisvilleYouthGroup.svg,239,459
MagicCity,MagicCityAcceptanceCenter.svg,0,163
Oakland,Oakland.svg,20,379
Outfest,Outfest.svg,348,124
Outwards,Outwards.svg,0,165
PeerHealth,PeerHealthExchange.svg,47,82
Penn,PennNursing.svg,47,0
Rutgers,Rutgers.svg,289,100
SFAW,SFAW.svg,331,27
TableXL,TableXL.svg,578,160
Trevor,Trevor.svg,451,0
TrueColors,TrueColors.svg,455,240
UCSF,UCSF.svg,0,110
UC,UniversityOfCalifornia.svg,139,90
UOfT,UOfT.svg,212,224
