"Organization.Name","City","State","lat","lng"
"Abilene Pride Alliance","Abilene","TX",32.4543,-99.7384
"In Our Own Voices ","Albany","NY",42.6664,-73.7987
"Transgender Resource Center of New Mexico ","Albuquerque","NM",35.1053,-106.6464
"Bradbury-Sullivan LGBT Community Center ","Allentown","PA",40.5961,-75.4756
"Identity, Inc. - Gay & Lesbian Community Center of Anchorage ","Anchorage","AK",61.1508,-149.1091
"Jim Toy Community Center ","Ann Arbor","MI",42.2755,-83.7312
"San Gabriel Valley LGBTQ Center ","Arcadia","CA",34.1342,-118.0373
"QSpot LGBT Community Center ","Asbury Park","NJ",40.2226,-74.0119
"Blue Ridge Pride Center ","Asheville","NC",35.5704,-82.5536
"Youth OUTright WNC, Inc. ","Asheville","NC",35.5704,-82.5536
"I Am Human Foundation","Atlanta","GA",33.7627,-84.4224
"Atlanta Pride Committee","Atlanta","GA",33.7627,-84.4224
"Southern Jewish Resource Network for Gender and Sexual Diversity (SOJOURN)","Atlanta","GA",33.7627,-84.4224
"Rainbow Connection ATX (f/k/a Austin LGBTQIA2+ Elder Task Force)","Austin","TX",30.3004,-97.7522
"Austin OutPost formerly QWELL Community Foundation","Austin","TX",30.3004,-97.7522
"Out Youth ","Austin","TX",30.3004,-97.7522
"The Center for Sexuality & Gender Diversity ","Bakersfield","CA",35.3529,-119.0359
"The Rainbow Bridge Community Center inc.","Barre","VT",44.1997,-72.5083
"Youth Oasis","Baton Rouge","LA",30.4418,-91.131
"Capitol Area Reentry Program Inc. (Out of the Box LGBTQ Center)","Baton Rouge","LA",30.4418,-91.131
"West Virginia Gay & Lesbian Community Center ","Beckley","WV",37.7878,-81.1841
"Beckley Pride","Beckley","WV",37.7878,-81.1841
"OutCenter of Southwest Michigan ","Benton Harbor","MI",42.1159,-86.4488
"Pacific Center for Human Growth ","Berkeley","CA",37.8723,-122.276
"Identity Youth Center (Program of Southern Tier AIDS Program in NY State)","Binghamton","NY",42.1014,-75.9093
"Magic City Acceptance Center","Birmingham","AL",33.5277,-86.7987
"PRISM FL, Inc. ","Boca Raton","FL",26.3752,-80.108
"Boston Alliance of Gay, Lesbian, Bisexual & Transgender Youth","Boston","MA",42.3188,-71.0846
"Out Boulder County","Boulder","CO",40.0249,-105.2523
"Queer Asterisk Therapeutic Services","Boulder","CO",40.0249,-105.2523
"Out in the Open ","Brattleboro","VT",42.8618,-72.6145
"Brooklyn LGBT Community Center","Brooklyn","NY",40.6501,-73.9496
"Youth Seen ","Broomfield","CO",39.9541,-105.0527
"Pride Center of Western NY ","Buffalo","NY",42.9016,-78.8487
"Burbank YMCA Social Impact Center ","Burbank","CA",34.1879,-118.3235
"Outright VT ","Burlington","VT",44.4877,-73.2314
"Pride Center of Vermont ","Burlington","VT",44.4877,-73.2314
"The UP (Uniting Pride) Center of Champaign County","Champaign","IL",40.1144,-88.2735
"LGBTQ+ Resource Center at Covenant House","Charleston","WV",38.3484,-81.6323
"Time Out Youth ","Charlotte","NC",35.208,-80.8304
"Transcend Charlotte ","Charlotte","NC",35.208,-80.8304
"Sam & Devorah Foundation for Trans Youth","Chatham","NJ",40.7273,-74.4289
"Samost Jewish Family & Children's Service/Jewish Federation of Southern New Jersey ","Cherry Hill","NJ",39.9034,-74.9947
"Table XI","Chicago","IL",41.8373,-87.6862
"Lighthouse Foundation - Chicago ","Chicago","IL",41.8373,-87.6862
"Center on Halsted ","Chicago","IL",41.8373,-87.6862
